课程名称,星期,开始节数,结束节数,地点,周数
WEB前端技术,1,1,2,一教机房502,12-14
WEB前端技术,1,3,4,一教机房502,4-16
WEB前端技术,1,5,6,福祉A504,4-11
大学英语4,1,7,8,福祉A402,1-16
操作系统,2,3,4,福祉A504,1-16
概率论与数理统计,3,1,2,三教408,1-16
数据库原理,3,3,4,电教机房201,9-16
大学体育4,3,5,6,,2-17
操作系统,4,1,2,福祉A503,1-8
数据库原理,4,3,4,福祉B514,1-16
概率论与数理统计,5,1,2,三教408,1-16
数据库原理课程设计,5,1,2,电教机房406,17
大学英语4,5,3,4,电教机房203,1-16双
数据库原理课程设计,5,3,4,电教机房406,17
数据库原理课程设计,5,5,6,电教机房406,17
数据库原理课程设计,5,7,8,电教机房406,17
数据库原理课程设计,6,1,2,电教机房406,17
数据库原理课程设计,6,3,4,电教机房406,17
数据库原理课程设计,6,5,6,电教机房406,17
数据库原理课程设计,6,7,8,电教机房406,17
python语言基础,4,7,8,福祉A505,1-8
python语言基础,4,9,10,电教机房401,1-16
